action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,source,lat,long,collection_method,line_out_depth,pressure_transducer_depth,acidified,acidification_method,volume,part,screen_size,collected,preserved,analyzed,lab_technician,filter_portion,project_specific_id,hakai_id,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,total_beam_n,ug_n,per_n,delta_air,corr_delta15n,total_beam_c,ug_c,per_c,delta_pdb,corr_delta13c,c_n,analyzing_lab,c_flag,n_flag,c_n_flag,row_flag,quality_level,comments,quality_log
,7176,1,2013-04-02,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,2000,,,2013-04-02T21:05:00.000Z,2013-04-02T07:00:00.000Z,,,1,680,CF680,123.83,159.1,,,,181.136453196247,,,6.96678091084564,,984.884049484369,,,-19.6843681697171,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,7188,1,2013-04-06,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,4800,,,2013-04-06T16:52:00.000Z,2013-04-06T07:00:00.000Z,,,1,688,CF688,125.94,155.1,,,,69.6292491144664,,,6.71640550804634,,328.340334797795,,,-20.3583845325573,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,24762,1,2013-04-14,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,3000,,,2013-04-14T16:27:00.000Z,2013-04-14T07:00:00.000Z,,,1,554,CF554,109.34,132.6,,,,38.9808270994575,,,6.30433469320812,,218.367807661823,,,-20.9918290659902,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,7212,1,2013-04-17,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,2000,,,2013-04-17T18:11:00.000Z,2013-04-17T07:00:00.000Z,,,1,560,CF560,109.9,131.2,,,,42.9448161133465,,,5.56943697771256,,218.09073359118,,,-23.1263751717374,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,24781,1,2013-04-21,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,2000,,,2013-04-21T18:35:00.000Z,2013-04-21T07:00:00.000Z,,,1,1199,CF1199,129.1,154.9,,,,87.6688324977858,,,4.71923756358121,,463.722473074142,,,-21.8535614544386,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,24786,1,2013-04-24,CALVERT,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY,HSVY;KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,3000,,,2013-04-24T16:45:00.000Z,2013-04-24T07:00:00.000Z,,,1,1126,CF1126,124.6,148.4,,,,97.3505989110856,,,4.61908142342693,,505.777490394632,,,-23.1904853471959,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,7242,1,2013-04-27,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,3000,,,2013-04-27T22:10:00.000Z,2013-04-27T07:00:00.000Z,,,1,1091,CF1091,129.3,154.8,,,,,,,0.718259844642577,,476.926573509138,,,-22.4965865607083,,UCDAVISSIF,,NA,,Results,Technician,,1: No N sample peak intergrated2: Results checked by RP.
,7242,2,2013-04-27,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,3000,,,2013-04-27T22:10:00.000Z,2013-04-27T07:00:00.000Z,,,1,1092,CF1092,126.3,157.7,,,,162.865528297971,,,4.92065985169825,,962.546456796398,,,-22.2335275566404,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,7266,1,2013-05-08,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,2000,,,2013-05-08T17:55:00.000Z,2013-05-08T07:00:00.000Z,,,1,1011,CF1011,118.7,142.2,,,,132.65970066013,,,4.45891653955276,,672.428750435245,,,-19.9129367928473,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
,7287,1,2013-05-18,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,M,51.6505000000001,-127.9516,,5,,,,2000,,,2013-05-18T17:05:00.000Z,2013-05-18T07:00:00.000Z,,,1,1152,CF1152,120,142.4,,,,97.0445785605395,,,6.45307594872772,,582.987718761953,,,-19.8485915515497,,UCDAVISSIF,,,,Results,Technician,,1: Results checked by RP.
