date,year,chl_avg
1/1/2024,2024,0.362250631
1/2/2024,2024,0.470590278
1/3/2024,2024,0.671041667
1/4/2024,2024,0.714166667
1/5/2024,2024,0.641319444
1/6/2024,2024,0.5359375
1/7/2024,2024,0.632604167
1/8/2024,2024,0.481840278
1/9/2024,2024,0.788715278
1/10/2024,2024,0.824305556
1/11/2024,2024,0.589131944
1/12/2024,2024,0.485902778
1/13/2024,2024,0.4775
1/14/2024,2024,0.382743056
1/15/2024,2024,0.4040625
1/16/2024,2024,0.436875
1/17/2024,2024,0.353402778
1/18/2024,2024,0.357118056
1/19/2024,2024,0.426423611
1/20/2024,2024,0.365381944
1/21/2024,2024,0.4578125
1/22/2024,2024,0.553333333
1/23/2024,2024,0.543715278
1/24/2024,2024,0.554305556
1/25/2024,2024,0.679930556
1/26/2024,2024,0.527743056
1/27/2024,2024,0.427847222
1/28/2024,2024,0.553229167
1/29/2024,2024,0.481458333
1/30/2024,2024,0.655972222
1/31/2024,2024,0.567291667
2/1/2024,2024,0.652604167
2/2/2024,2024,0.96125
2/3/2024,2024,0.906979167
2/4/2024,2024,0.889722222
2/5/2024,2024,0.949583333
2/6/2024,2024,0.922256944
2/7/2024,2024,0.863645833
2/8/2024,2024,0.947326389
2/9/2024,2024,1.049409722
2/10/2024,2024,0.978090278
2/11/2024,2024,1.167465278
2/12/2024,2024,1.029375
2/13/2024,2024,0.823962121
2/14/2024,2024,0.762569444
2/15/2024,2024,0.726388889
2/16/2024,2024,0.7809375
2/17/2024,2024,0.822395833
2/18/2024,2024,0.877395833
2/19/2024,2024,0.884965278
2/20/2024,2024,1.200347222
2/21/2024,2024,1.091041667
2/22/2024,2024,1.199791667
2/23/2024,2024,1.75125
2/24/2024,2024,1.723402778
2/25/2024,2024,1.021388889
2/26/2024,2024,1.000208333
2/27/2024,2024,0.954756944
2/28/2024,2024,0.737326389
2/29/2024,2024,0.659965278
3/1/2024,2024,0.651631944
3/2/2024,2024,0.772604167
3/3/2024,2024,0.950138889
3/4/2024,2024,0.959618056
3/5/2024,2024,0.960416667
3/6/2024,2024,1.037986111
3/7/2024,2024,1.146631944
3/8/2024,2024,0.863680556
3/9/2024,2024,1.134791667
3/10/2024,2024,0.828055556
3/11/2024,2024,0.879027778
3/12/2024,2024,0.761701389
3/13/2024,2024,1.291770833
3/14/2024,2024,1.312465278
3/15/2024,2024,1.971527778
3/16/2024,2024,2.551319444
3/17/2024,2024,2.667777778
3/18/2024,2024,4.022986111
3/19/2024,2024,4.195868056
3/20/2024,2024,3.4009375
