date,year,month,waterYear,WaterSalinity_QL,WaterSalinity_QC,WaterSalinity_UQL,WaterSalinity,WaterSalinity_Med,WaterSalinity_Avg,WaterSalinity_Min,WaterSalinity_Max
4/30/2018,2018,Apr,2017-2018,1,AV:MV:23 of 24 missing:1 of 24 flagged,1,29.9704,29.9704,29.9704,29.9704,29.9704
5/1/2018,2018,May,2017-2018,1,AV,1,30.1253,30.033975,30.03286875,29.9642,30.1253
5/2/2018,2018,May,2017-2018,1,AV,1,30.2701,30.18315,30.19045625,30.0961,30.2756
5/3/2018,2018,May,2017-2018,1,AV,1,30.394,30.33485,30.33777917,30.2443,30.4667
5/4/2018,2018,May,2017-2018,1,AV,1,30.4186,30.459625,30.45754792,30.2561,30.5712
5/5/2018,2018,May,2017-2018,1,AV,1,30.4065,30.3857,30.3898875,30.2499,30.5418
5/6/2018,2018,May,2017-2018,1,AV,1,29.208,29.65305,29.81067917,29.1429,30.412
5/7/2018,2018,May,2017-2018,1,AV,1,28.5157,28.806225,28.74028542,28.0783,29.3333
5/8/2018,2018,May,2017-2018,1,AV,1,28.4483,28.47165,28.46187083,28.2455,28.6338
5/9/2018,2018,May,2017-2018,1,AV,1,30.1354,28.6935,28.942975,28.1888,30.1354
5/10/2018,2018,May,2017-2018,1,AV,1,29.9304,29.905575,29.88661875,29.2089,30.8085
5/11/2018,2018,May,2017-2018,1,AV,1,28.7966,29.916025,29.7692625,28.2885,30.4295
5/12/2018,2018,May,2017-2018,1,AV,1,29.2033,29.14135,29.18276042,28.8336,29.5648
5/13/2018,2018,May,2017-2018,1,AV,1,28.1289,28.431325,28.42978958,27.309,29.3537
5/14/2018,2018,May,2017-2018,1,AV,1,26.6781,27.284675,27.32407708,26.4307,28.5283
5/15/2018,2018,May,2017-2018,1,AV,1,26.9569,26.585425,26.50106667,25.5622,27.3544
5/16/2018,2018,May,2017-2018,1,AV,1,27.7688,27.18435,27.20312917,26.3891,27.7966
5/17/2018,2018,May,2017-2018,1,AV,1,28.8131,28.052925,28.18221458,27.4908,28.8131
5/18/2018,2018,May,2017-2018,1,AV,1,29.0566,28.834975,28.87613333,28.4543,29.3485
5/19/2018,2018,May,2017-2018,1,AV,1,29.2338,29.217725,29.20916042,28.8736,29.5626
5/20/2018,2018,May,2017-2018,1,AV,1,29.3908,29.267125,29.30190208,28.7406,30.0309
5/21/2018,2018,May,2017-2018,1,AV,1,29.3492,29.551575,29.56993958,29.0449,29.9101
