date,year,month,waterYear,WindSpd_QL,WindSpd_QC,WindSpd_UQL,WindSpd,WindSpd_Med,WindSpd_Avg,WindSpd_Min,WindSpd_Max
10/8/2012,2012,Oct,2012-2013,1,MV:8 of 24 missing,3,2.565,1.1175,1.367875,0,4.234
10/9/2012,2012,Oct,2012-2013,1,,2,1.18,3.9465,3.3055,0,7.997
10/10/2012,2012,Oct,2012-2013,1,,2,1.066,1.2115,1.349833333,0,4.234
10/11/2012,2012,Oct,2012-2013,1,,2,8.18,4.4685,4.345,0,13.09
10/12/2012,2012,Oct,2012-2013,1,,2,10.69,9.84,9.805083333,3.763,17.13
10/13/2012,2012,Oct,2012-2013,1,,2,12.89,3.9725,4.535583333,0,22.85
10/14/2012,2012,Oct,2012-2013,1,,2,6.56,10.335,11.06008333,3.116,26.64
10/15/2012,2012,Oct,2012-2013,1,,2,9.75,9.87,11.09183333,2.646,34.44
10/16/2012,2012,Oct,2012-2013,1,,2,3.352,5.6265,5.63325,0.608,17.5
10/17/2012,2012,Oct,2012-2013,1,,2,17.43,8.595,9.944833333,0,30.11
10/18/2012,2012,Oct,2012-2013,1,,2,5.509,2.792,4.3845,0,23.99
10/19/2012,2012,Oct,2012-2013,1,,2,3.409,4.077,4.283916667,0,11.37
10/20/2012,2012,Oct,2012-2013,1,,2,4.873,4.3445,4.341041667,0,11.45
10/21/2012,2012,Oct,2012-2013,1,,2,3.249,3.005,2.9055,0,8.08
10/22/2012,2012,Oct,2012-2013,1,,2,4.876,4.8395,4.53875,0.157,10.78
10/23/2012,2012,Oct,2012-2013,1,,2,5.385,5.2945,5.222583333,0,11.56
10/24/2012,2012,Oct,2012-2013,1,,2,2.399,3.3215,3.770416667,0,10.33
10/25/2012,2012,Oct,2012-2013,1,,2,4.315,3.4,3.442291667,0,10.17
10/26/2012,2012,Oct,2012-2013,1,,2,2.106,2.5965,2.972916667,0,9.74
10/27/2012,2012,Oct,2012-2013,1,,2,7.874,2.218,2.357833333,0,14.6
10/28/2012,2012,Oct,2012-2013,1,,2,9.04,7.7295,7.230375,0.823,14.37
10/29/2012,2012,Oct,2012-2013,1,,2,2.469,6.3395,5.4675,0,14.15
10/30/2012,2012,Oct,2012-2013,1,,2,5.862,3.509,3.696375,0,11.54
10/31/2012,2012,Oct,2012-2013,1,,2,3.054,4.521,4.530291667,0.255,11.6
11/1/2012,2012,Nov,2012-2013,1,,2,2.39,2.7105,2.499458333,0,7.938
11/2/2012,2012,Nov,2012-2013,1,,2,3.558,6.9855,6.575875,0,20.03
11/3/2012,2012,Nov,2012-2013,1,,2,9.66,6.317,6.066708333,0.568,17.07
11/4/2012,2012,Nov,2012-2013,1,,2,7.62,11.175,11.981625,0.666,28.46
11/5/2012,2012,Nov,2012-2013,1,,2,3.396,4.137,4.249708333,0.51,16.52
11/6/2012,2012,Nov,2012-2013,1,,2,4.153,4.3465,4.426875,0,13.37
11/7/2012,2012,Nov,2012-2013,1,,2,3.319,3.3265,3.471541667,0,9.51
11/8/2012,2012,Nov,2012-2013,1,,2,4.817,3.1735,3.616041667,0,11.33
11/9/2012,2012,Nov,2012-2013,1,,2,3.238,4.462,4.430958333,0,10.6
11/10/2012,2012,Nov,2012-2013,1,,2,7.481,3.9425,4.262166667,0,13.03
11/11/2012,2012,Nov,2012-2013,1,,2,7.2,7.1025,7.254958333,0.98,17.97
11/12/2012,2012,Nov,2012-2013,1,,2,9.09,9.155,9.168208333,2.901,17.23
11/13/2012,2012,Nov,2012-2013,1,,2,4.029,6.6635,6.054208333,1.117,13.41
11/14/2012,2012,Nov,2012-2013,1,,2,8.17,4.7835,5.207416667,1.47,12.17
11/15/2012,2012,Nov,2012-2013,1,,2,8.55,8.115,8.119208333,2.666,14.58
11/16/2012,2012,Nov,2012-2013,1,,2,3.356,9.85,9.402625,0,22.64
11/17/2012,2012,Nov,2012-2013,1,,2,7.966,11.465,11.175375,0.157,27.13
11/18/2012,2012,Nov,2012-2013,1,,2,10.31,8.965,8.651,1.137,20.97
11/19/2012,2012,Nov,2012-2013,1,,2,6.68,6.0865,6.437416667,1.568,15.82
11/20/2012,2012,Nov,2012-2013,1,,2,8.73,6.155,6.638625,0.764,16.74
11/21/2012,2012,Nov,2012-2013,1,,2,6.06,5.792,5.85075,0,15.7
11/22/2012,2012,Nov,2012-2013,1,,2,12.5,13.41,13.81270833,2.176,32.01
11/23/2012,2012,Nov,2012-2013,1,,2,7.084,7.645,8.246833333,1,19.01
11/24/2012,2012,Nov,2012-2013,1,,2,3.529,5.851,5.808333333,0,15.43
11/25/2012,2012,Nov,2012-2013,1,,2,2.962,2.768,2.853,0,6.566
11/26/2012,2012,Nov,2012-2013,1,,2,3.249,3.062,2.749541667,0,6.252
11/27/2012,2012,Nov,2012-2013,1,,2,2.282,3.49,3.570916667,0,9.55
11/28/2012,2012,Nov,2012-2013,1,,2,8.24,3.4865,3.752541667,0,18.4
11/29/2012,2012,Nov,2012-2013,1,,2,5.341,6.493,6.864458333,0.255,19.87
11/30/2012,2012,Nov,2012-2013,1,,2,7.225,4.8435,5.663583333,0,19.97
12/1/2012,2012,Dec,2012-2013,1,,2,6.967,8.2,7.674375,0,19.42
12/2/2012,2012,Dec,2012-2013,1,,2,8.49,6.689,6.900958333,1.411,17.09
12/3/2012,2012,Dec,2012-2013,1,,2,9.85,9.585,9.2465,0.921,21.4
12/4/2012,2012,Dec,2012-2013,1,,2,9.25,9.46,9.100416667,0.176,24.79
12/5/2012,2012,Dec,2012-2013,1,,2,6.225,7.173,7.231625,1.058,16.29
12/6/2012,2012,Dec,2012-2013,1,,2,6.388,5.902,6.135375,0.706,16.19
12/7/2012,2012,Dec,2012-2013,1,,2,2.284,6.338,5.833166667,0,15.66
12/8/2012,2012,Dec,2012-2013,1,,2,2.666,3.0385,3.000833333,0,7.291
12/9/2012,2012,Dec,2012-2013,1,MV:3 of 24 missing,3,,9.34,8.626904762,0,19.93
12/10/2012,2012,Dec,2012-2013,1,MV:15 of 24 missing,3,13.02,10.73,10.45333333,0,20.03
12/11/2012,2012,Dec,2012-2013,1,,2,3.653,3.323,5.836541667,0,21.66
12/12/2012,2012,Dec,2012-2013,1,,2,6.026,2.4105,2.465708333,0,9.11
12/13/2012,2012,Dec,2012-2013,1,,2,3.375,8.595,7.5295,0,17.84
