"","date","year","month","month_adj","int_chl"
"1",2012-06-07,2012,6,6,29.28300932
"2",2012-06-16,2012,6,6,24.03732102
"3",2012-06-28,2012,6,6,89.19770358
"4",2012-07-07,2012,7,7,83.268853484
"5",2012-07-18,2012,7,7,41.079820816
"6",2012-07-19,2012,7,7,89.51145456
"7",2012-07-28,2012,7,7,47.598232408
"8",2012-08-06,2012,8,8,38.538018648
"9",2012-08-18,2012,8,8,93.978988911
"10",2012-08-29,2012,8,8,27.898385796
"11",2012-09-08,2012,9,9,74.506995045
"12",2012-09-19,2012,9,9,189.219181113
"13",2012-10-18,2012,10,10,14.432704578
"14",2012-11-06,2012,11,11,10.025940078
"15",2012-11-21,2012,11,11,8.270224578
"16",2012-11-25,2012,11,11,6.906913578
"17",2012-12-10,2012,12,12,5.985862578
"18",2013-01-07,2013,1,1,6.08808457799999
"19",2013-01-21,2013,1,1,8.49483757799999
"20",2013-02-07,2013,2,2,7.97720707799999
"21",2013-02-18,2013,2,2,8.254186578
"22",2013-03-16,2013,3,3,57.918400461
"23",2013-04-02,2013,4,4,206.803429641
"24",2013-04-06,2013,4,4,159.40843254
"25",2013-04-11,2013,4,4,35.320049109
"26",2013-04-14,2013,4,4,24.269139405
"27",2013-04-17,2013,4,4,35.212319919
"28",2013-04-21,2013,4,4,66.375571176
"29",2013-04-24,2013,4,4,41.089113
"30",2013-04-27,2013,4,4,52.51015188
"31",2013-05-08,2013,5,5,91.264029939
"32",2013-05-18,2013,5,5,30.913751388
"33",2013-05-29,2013,5,5,87.2321299879999
"34",2013-06-08,2013,6,6,51.289373932
"35",2013-06-19,2013,6,6,36.3838585036
"36",2013-06-29,2013,6,6,34.830416
"37",2013-07-10,2013,7,7,117.150086044
"38",2013-07-19,2013,7,7,57.565298
"39",2013-07-31,2013,7,7,106.0689665036
"40",2013-08-10,2013,8,8,33.517329302
"41",2013-08-22,2013,8,8,32.252434
"42",2013-08-31,2013,8,8,67.585297444
"43",2013-09-11,2013,9,9,154.314338
"44",2013-09-25,2013,9,9,14.154134448
"45",2013-11-07,2013,11,11,18.209634705
"46",2013-11-28,2013,11,11,9.1959057
"47",2014-01-08,2014,1,1,5.756965407
"48",2014-01-30,2014,1,1,8.1899505
"49",2014-02-20,2014,2,2,NA
"50",2014-03-12,2014,3,3,9.05817329999999
"51",2014-03-19,2014,3,3,13.2997545
"52",2014-03-26,2014,3,3,NA
"53",2014-04-01,2014,4,4,NA
"54",2014-04-07,2014,4,4,24.8893074
"55",2014-04-21,2014,4,4,NA
"56",2014-04-28,2014,4,4,22.511377764
"57",2014-05-07,2014,5,5,91.7208117
"58",2014-05-12,2014,5,5,97.8036525
"59",2014-05-19,2014,5,5,139.3467138
"60",2014-05-30,2014,5,5,48.4293654000001
"61",2014-06-09,2014,6,6,90.6454719
"62",2014-06-19,2014,6,6,214.9803261
"63",2014-06-29,2014,6,6,91.9487619000001
"64",2014-07-11,2014,7,7,NA
"65",2014-07-20,2014,7,7,72.540787113
"66",2014-08-01,2014,8,8,NA
"67",2014-08-09,2014,8,8,57.779838
"68",2014-09-01,2014,9,9,13.19570199
"69",2014-09-11,2014,9,9,10.89463641
"70",2014-09-22,2014,9,9,35.777421
"71",2014-11-30,2014,11,11,2.3983846398
"72",2015-01-21,2015,1,1,4.410633
"73",2015-02-25,2015,2,2,14.90445284
"74",2015-03-12,2015,3,3,39.7645164
"75",2015-03-20,2015,3,3,27.1881884
"76",2015-04-02,2015,4,4,3.8617744
"77",2015-04-09,2015,4,4,28.8982592
"78",2015-04-24,2015,4,4,48.8283792
"79",2015-05-01,2015,5,5,24.2656164
"80",2015-05-14,2015,5,5,72.0093888
"81",2015-05-24,2015,5,5,55.5657036
"82",2015-06-04,2015,6,6,141.7913764
"83",2015-06-14,2015,6,6,116.460550064
"84",2015-06-25,2015,6,6,111.73770064
"85",2015-07-16,2015,7,7,63.536487752
"86",2015-10-10,2015,10,10,10.789112295
"87",2015-10-29,2015,10,10,8.4529835
"88",2015-12-02,2015,12,12,6.1133345
"89",2016-01-16,2016,1,1,8.938107
